,City of Hamilton,Flamborough,Dundas,Ancaster,Glanbrook,Stoney Creek,Hamilton
Total Number of households,211511,14943,9917,13574,10501,24607,137971
Number of houses,128108,12736,6219,10948,7284,17054,73867
Number of apartments,58379,856,2748,431,221,3070,51054
Number of townhouses,25024,1351,950,2195,2996,4483,13050
Number of households with 1 person,59587,2337,2786,1967,1731,4696,46072
Number of households with 2 persons,67980,5313,3621,4432,3702,8000,42912
Number of households with 3 persons,33658,2605,1465,2340,1790,4434,21024
Number of households with 4 persons,30984,3062,1428,3022,2045,4702,16726
Number of households with 5 or more persons,19302,1627,617,1813,1232,2776,11237
Number of households with 0 vehicle,27831,177,676,192,*,902,25822
Number of households with 1 vehicles,82436,3224,3989,3174,2905,7686,61457
Number of households with 2 vehicles,73454,6994,3969,7005,5468,10974,39044
Number of households with 3 vehicles,20089,3004,1129,2206,1465,3368,8917
Number of households with 4 vehicles,5768,1215,*,866,405,1105,2086
Number of households with 5 or more vehicles,1893,328,*,*,196,572,646
Number of households with unknown number of vehicles,*,*,*,*,*,*,*
Number of households with 0 licenced drivers,16903,143,594,131,*,836,15145
Number of households with 1 licenced drivers,67303,2505,2795,2329,1944,6264,51466
Number of households with 2 licenced drivers,92455,8496,4897,7800,6921,12163,52178
Number of households with 3 licenced drivers,19313,1868,1031,1602,880,2638,11294
Number of households with 4 licenced drivers,9805,1510,290,1329,346,2151,4178
Number of households with 5 or more licenced drivers,1944,*,*,*,*,*,1025
Number of households with unknown number of licenced drivers,3790,203,311,*,*,410,2686
Number of households with 0 full-time employee,75212,3673,4082,3454,2979,7342,53683
Number of households with 1 full-time employees,74213,4683,3198,5451,3114,8023,49744
Number of households with 2 full-time employees,52908,5543,2296,3767,4104,7709,29489
Number of households with 3 full-time employees,7805,1018,*,725,*,1192,4489
Number of households with 4 full-time employees,1274,*,*,*,*,*,566
Number of households with 5 or more full-time employees,*,*,*,*,*,*,*
Number of households with 0 part-time employee,162150,11264,7684,9618,8041,19005,106538
Number of households with 1 part-time employees,41470,3090,1891,3344,2014,4827,26305
Number of households with 2 part-time employees,6727,510,266,484,312,756,4401
Number of households with 3 part-time employees,1035,*,*,*,*,*,672
Number of households with 4 part-time employees,*,*,*,*,*,*,*
Number of households with 5 or more part-time employees,*,*,*,*,*,*,*
Number of households with 0 work-at-home employee,195815,12698,9157,11653,9956,22802,129548
Number of households with 1 work-at-home employees,14110,1856,760,1671,403,1584,7836
Number of households with 2 work-at-home employees,1459,318,*,249,*,164,587
Number of households with 3 work-at-home employees,*,*,*,*,*,*,*
Number of households with 4 work-at-home employees,*,*,*,*,*,*,*
Number of households with 5 or more work-at-home employees,*,*,*,*,*,*,*
Number of households with 0 student,144274,9598,7153,8108,7142,15876,96398
Number of households with 1 students,35831,2543,1477,2574,1730,4189,23319
Number of households with 2 students,22651,1999,1006,1765,1163,3378,13341
Number of households with 3 students,6186,546,281,829,466,1094,2969
Number of households with 4 students,1958,206,*,*,*,*,1384
Number of households with 5 or more students,611,*,*,*,*,*,560
Number of Households with income $0 to $14999,11777,128,402,*,*,634,10574
Number of Households with income $15000 to $39999,37373,1049,1065,732,889,3452,30186
Number of Households with income $40000 to $59999,32199,2006,1233,1245,1488,3158,23069
Number of Households with income $60000 to $99999,41527,2726,1959,2549,1655,5559,27080
Number of Households with income $100000 to $124999,20795,2111,1061,1534,1792,2811,11487
Number of Households with income $125000 and above,28622,4268,2466,3916,2293,3729,11950
Number of Households with income Declined / don't know,39218,2655,1731,3574,2369,5264,23625
Total Number of persons,525510,42346,23222,39929,29114,67920,322978
